Temp,Cp,Density,Viscosity,Kinematic Viscosity,Thermal Conductivity,Enthalpy
668,0.9899283117,1579.5395555556,0.0025340539,1.60037531489495E-06,0.4187236404,298058.254645855
669,0.9894809048,1578.9608888889,0.0025305686,1.59875426084961E-06,0.418615214,299047.97172854
670,0.9890335065,1578.3822222222,0.0025270948,1.59713992843233E-06,0.4185080718,300037.240432869
671,0.9885861169,1577.8035555556,0.0025236325,1.59553229305135E-06,0.4184022129,301026.060758843
672,0.9881387359,1577.2248888889,0.0025201816,1.59393133054006E-06,0.4182976362,302014.432706463
673,0.9876913636,1576.6462222222,0.002516742,1.59233701715707E-06,0.4181943411,303002.356275727
674,0.987244,1576.0675555556,0.0025133137,1.59074932958608E-06,0.4180923266,303989.831466637
675,0.986796645,1575.4888888889,0.0025098966,1.58916824493608E-06,0.417991592,304976.858279191
676,0.9863492987,1574.9102222222,0.0025064907,1.58759374074113E-06,0.4178921366,305963.436713391
677,0.985901961,1574.3315555556,0.0025030958,0.000001586,0.4177939598,306949.566769235
678,0.985454632,1573.7528888889,0.0024997121,1.58446438597876E-06,0.4176970609,307935.248446724
679,0.9850073117,1573.1742222222,0.0024963392,1.58290949260537E-06,0.4176014394,308920.481745859
680,0.98456,1572.5955555556,0.0024929774,1.58136109407524E-06,0.4175070948,309905.266666639
681,0.984112697,1572.0168888889,0.0024896264,1.57981917004832E-06,0.4174140267,310889.603209064
682,0.9836654026,1571.4382222222,0.0024862862,1.57828370060978E-06,0.4173222347,311873.491373133
683,0.9832181169,1570.8595555556,0.0024829568,1.57675466626992E-06,0.4172317185,312856.931158848
